date,average_return
2015-11-09,-1.34
2015-11-10,-0.57
2015-11-11,0.04
2015-11-12,-0.64
2015-11-13,-1.58
2015-11-16,2.46
2015-11-17,-0.45
2015-11-18,1.87
2015-11-19,0.2
2015-11-20,0.03
2015-11-23,-0.26
2015-11-24,0.35
2015-11-25,0.55
2015-11-27,-0.01
2015-11-30,-0.06
2015-12-01,1.06
2015-12-02,-0.91
2015-12-03,-1.45
2015-12-04,1.88
2015-12-07,-0.04
2015-12-08,0.03
2015-12-09,-0.45
2015-12-10,0.16
2015-12-11,-2.43
2015-12-14,0.42
2015-12-15,-0.46
2015-12-16,1.59
2015-12-17,-1.32
2015-12-18,-1.5
2015-12-21,0.11
2015-12-22,-0.1
2015-12-23,0.34
2015-12-24,-0.45
2015-12-28,0.44
2015-12-29,1.24
2015-12-30,-0.33
2015-12-31,-0.64
2016-01-04,0.05
2016-01-05,-0.91
2016-01-06,0.39
2016-01-07,-0.93
2016-01-08,-2.05
2016-01-11,-0.81
2016-01-12,-0.07
2016-01-13,-3.99
2016-01-14,1.71
2016-01-15,0.58
2016-01-19,-1.56
2016-01-20,1.13
2016-01-21,-0.59
2016-01-22,1.05
2016-01-25,-1.85
2016-01-26,0.28
2016-01-27,-1.47
2016-01-28,0.04
2016-01-29,1.83
2016-02-01,0.86
2016-02-02,-2.44
2016-02-03,-2.19
2016-02-04,1.01
2016-02-05,-3.07
2016-02-08,-0.89
2016-02-09,1.78
2016-02-10,-1.45
2016-02-11,0.76
2016-02-12,-0.24
2016-02-16,0.07
2016-02-17,2.21
2016-02-18,-1.81
2016-02-19,0.55
2016-02-22,0.98
2016-02-23,-1.16
2016-02-24,1.98
2016-02-25,1.7
2016-02-26,-0.65
2016-02-29,-0.38
2016-03-01,1.3
2016-03-02,1.17
2016-03-03,0.55
2016-03-04,0.21
2016-03-07,0.52
2016-03-08,0.27
2016-03-09,1.2
2016-03-10,-1.0
2016-03-11,0.76
2016-03-14,0.65
2016-03-15,0.92
2016-03-16,1.28
2016-03-17,1.16
2016-03-18,-0.49
2016-03-21,0.58
2016-03-22,0.47
2016-03-23,-1.18
2016-03-24,1.24
2016-03-28,-0.55
2016-03-29,1.44
2016-03-30,-0.61
2016-03-31,-0.09
2016-04-01,0.44
2016-04-04,-0.37
2016-04-05,1.0
2016-04-06,1.75
2016-04-07,-1.6
2016-04-08,-1.14
2016-04-11,-0.45
2016-04-12,0.62
2016-04-13,1.17
2016-04-14,0.72
2016-04-15,0.3
2016-04-18,0.67
2016-04-19,-0.95
2016-04-20,0.06
2016-04-21,-0.16
2016-04-22,0.28
2016-04-25,0.23
2016-04-26,-0.45
2016-04-27,0.11
2016-04-28,-1.75
2016-04-29,-0.39
2016-05-02,0.37
2016-05-03,-0.59
2016-05-04,-0.74
2016-05-05,-1.53
2016-05-06,1.11
2016-05-09,-0.87
2016-05-10,0.7
2016-05-11,-0.59
2016-05-12,-0.94
2016-05-13,-0.49
2016-05-16,1.19
2016-05-17,-1.5
2016-05-18,0.86
2016-05-19,-0.05
2016-05-20,0.74
2016-05-23,-0.51
2016-05-24,1.16
2016-05-25,0.58
2016-05-26,0.53
2016-05-27,0.5
2016-05-31,0.33
2016-06-01,0.03
2016-06-02,-0.14
2016-06-03,-0.43
2016-06-06,0.38
2016-06-07,0.49
2016-06-08,0.36
2016-06-09,-0.16
2016-06-10,-0.79
2016-06-13,-0.24
2016-06-14,-0.5
2016-06-15,-0.27
2016-06-16,0.65
2016-06-17,-0.98
2016-06-20,-0.6
2016-06-21,0.37
2016-06-22,-0.56
2016-06-23,0.71
2016-06-24,0.17
2016-06-27,-0.18
2016-06-28,0.36
2016-06-29,1.34
2016-06-30,0.82
2016-07-01,1.26
2016-07-05,0.26
2016-07-06,1.3
2016-07-07,0.23
2016-07-08,0.55
2016-07-11,0.69
2016-07-12,0.67
2016-07-13,-0.58
2016-07-14,0.13
2016-07-15,-0.42
2016-07-18,1.25
2016-07-19,0.11
2016-07-20,0.24
2016-07-21,-0.67
2016-07-22,0.25
2016-07-25,0.49
2016-07-26,0.26
2016-07-27,-0.32
2016-07-28,0.61
2016-07-29,0.59
2016-08-01,0.24
2016-08-02,-0.46
2016-08-03,0.37
2016-08-04,0.61
2016-08-05,0.8
2016-08-08,-0.16
2016-08-09,0.19
2016-08-10,-0.55
2016-08-11,-0.07
2016-08-12,0.19
2016-08-15,0.36
2016-08-16,-0.46
2016-08-17,0.17
2016-08-18,0.04
2016-08-19,0.43
2016-08-22,-0.2
2016-08-23,-0.11
2016-08-24,-0.6
2016-08-25,0.03
2016-08-26,-0.29
2016-08-29,-0.26
2016-08-30,-0.34
2016-08-31,0.18
2016-09-01,-0.59
2016-09-02,-0.52
2016-09-06,0.34
2016-09-07,0.0
2016-09-08,-0.68
2016-09-09,-1.63
2016-09-12,2.07
2016-09-13,-0.39
2016-09-14,0.6
2016-09-15,1.57
2016-09-16,0.49
2016-09-19,-0.69
2016-09-20,-0.58
2016-09-21,0.16
2016-09-22,0.21
2016-09-23,-0.65
2016-09-26,0.06
2016-09-27,0.36
2016-09-28,-0.04
2016-09-29,-1.11
2016-09-30,0.46
2016-10-03,-0.03
2016-10-04,-0.42
2016-10-05,-0.33
2016-10-06,-0.25
2016-10-07,-0.6
2016-10-10,0.33
2016-10-11,-1.05
2016-10-12,0.04
2016-10-13,0.05
2016-10-14,-0.42
2016-10-17,-0.37
2016-10-18,0.49
2016-10-19,0.22
2016-10-20,-0.7
2016-10-21,0.03
2016-10-24,0.47
2016-10-25,-0.21
2016-10-26,0.11
2016-10-27,-1.24
2016-10-28,-0.91
2016-10-31,-0.86
2016-11-01,-1.26
2016-11-02,-0.69
